SO2,NO2,O3,CO,PM10,PM2.5,total_bad
0.078,0.021,0.1,2.9,145.0,164.0,1
0.163,0.002,0.033,17.4,172.0,167.0,1
0.114,0.003,0.003,11.7,456.0,282.0,1
0.059000000000000004,0.009000000000000001,0.033,10.3,324.0,319.0,1
0.002,0.009000000000000001,0.028999999999999998,0.2,9.0,3.0,0
0.005,0.026000000000000002,0.006,0.4,20.0,12.0,0
0.002,0.019,0.022000000000000002,0.5,13.0,7.0,0
0.009000000000000001,0.043,0.03,0.5,40.0,21.0,0
0.004,0.016,0.028999999999999998,0.4,14.0,9.0,0
0.008,0.036000000000000004,0.02,0.7,66.0,43.0,0
0.004,0.021,0.01,0.3,29.0,18.0,0
0.003,0.022000000000000002,0.017,0.1,6.0,1.0,0
0.004,0.036000000000000004,0.002,0.8,36.0,20.0,0
0.003,0.013999999999999999,0.05,0.3,21.0,14.0,0
0.003,0.04,0.006,0.6,48.0,37.0,0
0.006999999999999999,0.064,0.002,0.7,73.0,49.0,0
0.002,0.027000000000000003,0.048,0.4,44.0,28.0,0
0.002,0.039,0.006999999999999999,0.5,51.0,33.0,0
0.003,0.019,0.031,0.6,24.0,16.0,0
0.003,0.024,0.031,0.8,43.0,21.0,0
0.003,0.023,0.013999999999999999,0.3,15.0,6.0,0
0.002,0.05,0.006,0.7,23.0,18.0,0
0.004,0.02,0.012,0.4,41.0,21.0,0
0.003,0.042,0.002,1.0,74.0,43.0,0
0.005,0.006999999999999999,0.043,0.4,26.0,6.0,0
0.004,0.026000000000000002,0.036000000000000004,0.4,38.0,19.0,0
0.002,0.011000000000000001,0.021,0.1,10.0,10.0,0
0.005,0.063,0.006,1.1,80.0,61.0,0
0.004,0.012,0.048,0.7,985.0,21.0,0
0.005,0.044000000000000004,0.035,0.9,223.0,171.0,0
0.004,0.006999999999999999,0.039,0.3,20.0,11.0,0
0.006,0.036000000000000004,0.016,0.6,75.0,32.0,0
0.002,0.013999999999999999,0.038,0.3,12.0,5.0,0
0.005,0.039,0.006,0.5,40.0,32.0,0
0.002,0.039,0.006999999999999999,0.6,46.0,27.0,0
0.003,0.049,0.003,0.7,34.0,31.0,0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
0.005,0.015,0.024,0.4,30.0,20.0,0
0.002,0.004,0.045,0.4,8.0,7.0,0
0.002,0.011000000000000001,0.018000000000000002,0.2,11.0,6.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.002,0.032,0.022000000000000002,0.4,41.0,15.0,0
0.004,0.021,0.022000000000000002,0.3,26.0,12.0,0
0.003,0.02,0.012,0.3,16.0,8.0,0
0.004,0.019,0.064,0.4,63.0,16.0,0
0.006999999999999999,0.05,0.005,0.7,47.0,41.0,0
0.003,0.021,0.023,0.5,21.0,14.0,0
0.004,0.037000000000000005,0.009000000000000001,0.7,37.0,16.0,0
0.002,0.01,0.034,0.5,14.0,5.0,0
0.006,0.032,0.022000000000000002,0.5,91.0,54.0,0
0.004,0.013000000000000001,0.006,0.4,3.0,1.0,0
0.005,0.018000000000000002,0.032,0.3,51.0,14.0,0
0.006999999999999999,0.057999999999999996,0.002,0.9,66.0,32.0,0
0.004,0.02,0.03,0.5,33.0,13.0,0
0.005,0.027999999999999997,0.005,0.7,32.0,19.0,0
0.004,0.019,0.031,0.2,78.0,5.0,0
0.004,0.040999999999999995,0.002,0.6,18.0,12.0,0
0.003,0.02,0.036000000000000004,0.6,23.0,16.0,0
0.005,0.045,0.022000000000000002,0.9,77.0,58.0,0
0.004,0.021,0.032,0.4,35.0,22.0,0
0.004,0.013000000000000001,0.047,0.3,54.0,12.0,0
0.005,0.021,0.071,0.3,38.0,18.0,0
0.003,0.013000000000000001,0.055,0.5,27.0,23.0,0
0.008,0.059000000000000004,0.002,0.9,54.0,38.0,0
0.003,0.013999999999999999,0.035,0.2,10.0,1.0,0
0.005,0.044000000000000004,0.005,1.2,54.0,28.0,0
0.005,0.045,0.002,0.7,35.0,19.0,0
0.004,0.015,0.057,0.4,25.0,16.0,0
0.006,0.067,0.003,0.8,83.0,46.0,0
0.008,0.042,0.002,1.5,22.0,17.0,0
0.004,0.036000000000000004,0.009000000000000001,0.3,34.0,6.0,0
0.005,0.031,0.018000000000000002,0.7,50.0,27.0,0
0.002,0.023,0.02,0.4,30.0,16.0,0
0.006,0.017,0.017,0.5,70.0,48.0,0
0.004,0.006999999999999999,0.021,0.2,14.0,6.0,0
0.004,0.021,0.035,0.4,58.0,38.0,0
0.004,0.034,0.005,0.3,22.0,10.0,0
0.003,0.023,0.022000000000000002,0.4,29.0,20.0,0
0.006,0.01,0.013999999999999999,0.3,12.0,8.0,0
0.002,0.006999999999999999,0.033,0.3,15.0,11.0,0
0.01,0.075,0.002,1.2,104.0,61.0,0
0.005,0.013999999999999999,0.035,0.2,43.0,26.0,0
0.006999999999999999,0.027999999999999997,0.013000000000000001,0.5,32.0,22.0,0
0.004,0.044000000000000004,0.003,1.0,71.0,35.0,0
0.006,0.027999999999999997,0.033,0.4,25.0,17.0,0
0.003,0.018000000000000002,0.048,0.4,30.0,22.0,0
